,h_veg,r_st,LAI_min,LAI_max,Vr,alpha_veg,Vcan,k,f_red,z0,rs_soi,Ve,a,Vsoi,Vepi,Kepi,alpha_soi,Pm,Epotm,Tm,AI,ro_P_E,ETSI,PSI,Ip,Hp,H95,Dp,DS,DTR,RHm,WSm,Radm,CO2,Classes
8142145,1.3927,116.77,99.932,3.5787,141.53,0.22163,0.26549,0.50867,0.11332,0.0034341,14.953,16.396,3.1546,180.64,588.78,7.6686,0.3678,232,1162.6,17.258,5.0111,-0.63614,0.69962,0.85829,5.5447,7.9518,166.95,1.8434,9.5667,15.133,33.51,3.5776,44.323,429.36,C2
991845,1.2772,74.267,50.319,4.5632,159.66,0.2112,0.23038,0.49199,0.011329,0.0046589,14.611,39.372,1.9515,622.23,650.53,22.691,0.3426,711.43,477.1,15.31,0.67062,0.63474,0.85133,0.18465,4.5889,1.4717,16.85,2.3594,0.5,8.6057,86.301,1.6408,40.465,796.37,C3
15931294,23.54,155.87,56.306,6.2738,347.25,0.11265,0.30186,0.48731,0.11075,0.004078,91.289,37.698,4.1375,187.29,407.86,5.5764,0.36204,617.06,786.85,17.99,1.2752,-0.79703,0.6207,0.42631,8.3643,3.9895,37,1.9236,0,9.689,66.889,5.0175,42.95,531.92,C3
5776730,0.60152,98.141,58.399,2.3232,135.33,0.20456,0.36204,0.64735,0.0096647,0.01095,63.066,28.077,2.2554,173.14,320.75,16.614,0.36141,134.35,1128.8,20.524,8.4022,-0.88945,0.51033,0.58516,5.9413,16.589,126.4,1.6838,0,12.253,35.596,3.7351,45.505,352.14,C1
6309472,1.0782,47.724,67.439,4.0128,121.16,0.22367,0.33721,0.44636,0.13353,0.0035027,12.89,10.807,3.3588,608.76,490.51,1.2742,0.3953,657.89,529.45,10.971,0.80478,-0.76209,0.56285,0.2145,3.8178,1.2822,22,2.4494,0,8.033,75.104,6.8229,37.466,531.92,C3
2152112,1.3106,94.861,81.767,2.1932,111.86,0.24755,0.33097,0.44981,0.026532,0.011837,13.809,36.677,3.1234,646.5,371.44,36.06,0.35805,734.11,346.68,4.8172,0.47225,0.72325,0.916,0.2193,5.226,1.6128,19.2,2.387,179.5,7.7132,81.133,3.2339,34.122,352.14,C4
12907949,13.046,316.93,42.337,5.8135,359.39,0.10289,0.38102,0.62985,0.029281,0.0082714,37.235,40.207,1.2192,533.85,643.64,2.9282,0.36024,1227.5,351.34,9.6474,0.28623,0.58341,0.80407,0.16103,7.6658,1.2963,20.15,3.1877,84.2,9.4069,67.361,2.0752,35.97,352.14,C4
15316295,24.225,482.18,8.4027,7.5512,260.68,0.14638,0.28064,0.55711,0.14853,0.0084407,65.488,43.192,2.7197,572.46,362.66,43.11,0.34831,642.37,411.84,7.9561,0.64114,0.91194,0.77446,0.27447,4.0754,1.4504,17,2.5217,81.4,8.3008,72.169,3.6273,35.432,352.14,C2
12775807,32.523,331.05,79.606,7.4586,224.95,0.10962,0.39813,0.49073,0.057949,0.0015317,73.295,21.613,5.8792,103.52,222.47,48.036,0.30249,140.84,1210.6,22.828,8.5955,-0.6827,0.58597,0.98816,6.228,16.067,213.4,1.6984,0,16.581,13.357,2.3329,47.604,796.37,C2
8048478,0.6168,77.284,44.587,2.1186,130.4,0.24961,0.27463,0.51773,0.069017,0.0030237,27.74,23.282,1.9872,612.25,230.28,34.752,0.30051,584.07,788.62,12.26,1.3502,-0.33766,0.79754,0.18377,5.2725,2.3724,23.15,2.0345,23.3,9.2176,57.971,4.9414,39.374,796.37,C3
16405042,14.976,181.68,46.917,6.0877,44.173,0.13709,0.37708,0.63644,0.047024,0.0090356,45.659,22.275,5.9873,7.892,299.87,5.2758,0.34096,73.97,1057.1,21.749,14.291,-0.62848,0.4192,0.94228,6.2258,35.043,265.4,1.6796,0,16.088,12.883,2.3123,47.038,429.36,C2
4700654,0.85742,128.96,5.3573,4.9821,160.96,0.20973,0.24404,0.59518,0.12528,0.0048726,82.133,20.268,2.0292,468.22,252.83,35.48,0.34918,652.04,544.72,12.613,0.8354,0.66221,0.78946,0.20768,6.2184,2.53,25.35,2.1333,94.467,10.785,62.813,2.6288,38.641,429.36,C3
10859817,32.292,203.96,83.241,7.8244,201.1,0.13668,0.31559,0.46456,0.019015,0.0042394,16.168,23.543,3.4036,205.87,315.52,3.9591,0.30096,273.46,990.18,10.522,3.621,-0.67093,0.78252,0.27476,4.7741,5.4719,43.5,1.7802,100.33,11.363,44.832,5.2802,39.366,531.92,C2
10606286,20.845,254.97,41,6.3883,342.72,0.10707,0.2634,0.58142,0.022653,0.0098599,85.084,10.065,2.3426,188.59,596.71,14.908,0.39786,389.36,643.78,17.939,1.6534,-0.092933,0.64694,0.40233,6.8645,5.5181,47,1.7492,0,12.532,43.367,1.6329,42.658,531.92,C2
1901159,0.60363,114.08,80.395,3.9001,108.91,0.19924,0.31951,0.65111,0.019169,0.0064053,93.406,39.942,1.4925,479.44,401.41,2.2653,0.32415,570.09,611.95,7.8688,1.0734,0.14038,0.79145,0.13208,4.9453,2.2671,23,2.2074,117.43,8.4274,62.092,4.8423,36.467,352.14,C3
3003686,0.67247,89.412,56.945,2.1633,152.51,0.1855,0.2063,0.63732,0.12859,0.0041295,58.596,14.569,2.819,45.177,683.79,21.459,0.34613,6.4287,2295.1,28.771,357.01,-0.28555,0.3565,0.96234,2.674,341.41,1816.5,1.3333,0,15.338,11.598,7.3858,49.676,610.55,C1
15943334,13.834,186.93,87.042,5.5753,109.35,0.10489,0.31497,0.66334,0.11592,0.0078726,4.3842,11.924,3.6126,27.499,306.44,42.122,0.36087,99.173,1862.8,26.07,18.784,-0.82731,0.44486,0.93055,7.1283,26.739,244.7,1.7174,0,15.036,17.665,5.2404,49.111,531.92,C2
15484033,25.678,396.26,83.765,6.3043,231.32,0.15996,0.33825,0.42985,0.069587,0.00645,38.056,37.521,2.4502,422.02,528.19,44.35,0.31057,1044,460.34,11.092,0.44093,-0.71205,0.84016,0.14734,8.8063,2.0876,22.3,2.3812,6,9.4224,66.615,1.9492,38.054,352.14,C4
16849648,11.22,239.42,61.391,9.0071,290.1,0.1281,0.32982,0.67781,0.080608,0.010839,96.619,8.0945,2.3787,256.18,268.62,47.774,0.39744,794.95,572.53,14.516,0.72021,0.41843,0.78841,0.29513,6.4492,2.0445,23,2.2314,0,12.164,76.541,1.6407,41.584,610.55,C3
12397460,31.918,332.07,10.679,8.8527,218.24,0.15227,0.39971,0.47689,0.14272,0.0028921,78.23,11.711,2.2176,565.8,495.02,19.258,0.36648,613.3,315.65,1.3533,0.51467,0.71961,0.98812,0.28879,4.9116,1.9544,19.75,1.976,209.9,9.5041,85.39,3.5683,32.592,352.14,C3
15903409,32.021,351.71,71.651,6.2912,272.51,0.10493,0.37689,0.53289,0.055057,0.0083772,28.637,38.078,1.2951,483.87,352,48.348,0.30412,1053.9,562.01,13.453,0.53327,-0.53057,0.90198,0.21412,5.7034,1.0082,19,3.1424,0,8.1185,84.098,3.9111,40.149,610.55,C3
16457816,21.009,498.62,83.195,9.6188,387.21,0.14499,0.37209,0.42504,0.04914,0.00082858,60.051,34.235,3.1518,530.41,585.28,29.722,0.37802,980.03,456.55,10.119,0.46585,-0.53837,0.77894,0.13974,4.6654,0.8057,13,3.2683,4.2,7.8479,70.25,3.3349,36.824,531.92,C2
13133249,23.156,492.62,22.748,5.6278,340.36,0.12549,0.38691,0.68003,0.046061,0.0062999,1.8497,13.454,3.7131,109.69,473.47,11.893,0.37164,509.83,847.11,15.522,1.6615,-0.5541,0.55586,1.0419,17.838,11.875,212.6,2.1436,4.5333,17.016,10.699,2.1485,42.685,429.36,C4
17120810,30.489,480.64,52.101,9.9917,365.01,0.14282,0.36459,0.45991,0.074453,0.0084303,0.32823,30.51,3.0188,227.36,672.03,35.136,0.37246,267.91,620.28,14.35,2.3153,-0.16821,0.69967,0.33922,2.8319,3.3727,42.45,2.2177,159.3,12.024,57.829,1.1645,41.978,352.14,C2
6174603,0.5969,88.454,40.416,4.4514,113.61,0.20546,0.26102,0.60751,0.1085,0.010757,70.307,15.103,1.1119,208.45,469.17,6.2827,0.33928,242.12,821.06,20.885,3.3911,-0.44736,0.56307,0.68553,8.5274,12.201,100.4,2.0494,0,16.101,13.386,1.0669,46.168,429.36,C2
17169052,25.072,166.17,45.382,7.2417,315.69,0.15587,0.24952,0.46604,0.053658,0.0086994,69.443,25.859,2.3556,591.58,606.96,39.656,0.38748,1328.1,483.41,10.054,0.36398,-0.89315,0.69129,0.19604,6.7277,0.86725,16.6,3.649,0,6.6331,76.705,7.4022,36.483,429.36,C3
12367400,28.898,295.69,6.2622,7.0972,186.3,0.13917,0.36914,0.58735,0.14376,0.0043963,3.805,39.451,4.7381,39.003,548.84,30.572,0.37187,7.5827,2189.2,25.939,288.72,-0.37238,0.3576,0.87536,4.8127,303.36,1704,1.5652,0,15.535,12.719,7.4352,48.404,610.55,C1
2552751,1.3832,54.574,72.514,4.9671,129.37,0.18629,0.20964,0.48635,0.053563,0.0032231,69.413,7.3137,4.9118,229.41,696.34,47.273,0.35334,466,918,18.08,1.97,-0.69661,0.50398,0.68838,10.264,7.1103,103.85,2.5158,0,12.826,29.744,2.0016,44.896,429.36,C3
4668252,0.85742,128.96,5.3573,4.9821,160.96,0.20973,0.24404,0.59518,0.12528,0.0048726,82.133,20.268,2.0292,468.22,252.83,35.48,0.34918,434.66,612.49,14.915,1.4091,-0.80782,0.67018,0.25622,4.4538,2.9671,36,2.5669,0,12.094,65.44,2.677,41.346,531.92,C3
314440,1.2425,134.32,44.844,4.2411,182.24,0.20198,0.24739,0.58889,0.0032493,0.0019656,97.422,40.952,1.374,225.52,634.41,20.51,0.35492,552.05,631.76,17.764,1.1444,-0.95524,0.74787,0.53585,7.1751,3.7805,47,2.2604,0,10.547,61.322,2.9991,41.827,429.36,C3
10563235,33.884,330.76,55.186,8.2463,25.952,0.10134,0.26037,0.44282,0.015638,0.0052256,20.74,25.952,1.5308,11.134,292.19,30.017,0.35205,86.401,1894.3,25.916,21.925,-0.7538,0.43111,0.90197,10.532,44.845,351.3,1.9431,0,15.186,9.7017,4.5527,49.048,610.55,C2
12732788,21.528,447.13,11.735,9.2094,341.49,0.1277,0.30688,0.47104,0.044671,0.0023704,96.469,30.427,2.8818,570.52,428.05,33.872,0.34774,1572.3,332.52,7.3355,0.21148,0.55256,0.86482,0.17212,9.5171,1.2169,19.15,3.0588,125.53,9.1448,72.006,2.1607,34.74,352.14,C4
13012869,24.115,421.09,17.718,9.643,389.25,0.10281,0.3404,0.67229,0.055487,0.0078715,82.938,35.083,2.8947,234.35,450.37,49.865,0.31549,169.31,1011.9,25.414,5.9767,-0.63014,0.56433,1.156,21.513,46.026,330.1,1.7923,1.1,12.473,2.3384,1.9414,47.261,531.92,C2
16923985,19.652,345.95,80.72,8.5137,290.22,0.1093,0.27939,0.44316,0.01424,0.0055807,46.341,34.145,2.8648,519.21,365.58,47.266,0.33203,438.32,646.36,12.83,1.4746,-0.023581,0.73524,0.14672,4.8488,3.0793,27,2.0622,38.667,10.106,58.557,2.5529,40.376,429.36,C1
12354527,24.199,261.06,35.469,9.528,340.27,0.10223,0.38061,0.59362,0.12171,0.004837,73.723,6.8071,0.80606,286.53,522.53,49.482,0.39661,1144.5,491.28,11.537,0.42927,0.63102,0.81356,0.25156,9.5778,2.0744,27,2.79,51.7,11.285,67.095,1.9948,38.497,429.36,C3
12522594,29.448,341.42,65.966,6.046,313.18,0.10799,0.24223,0.5826,0.10518,0.0095225,84.937,9.3165,2.6662,289.68,314.5,8.1139,0.36956,1368,297.98,4.4204,0.21782,0.84959,0.7932,0.26812,7.4039,1.0013,15,2.9241,125.03,6.9416,79.024,1.9068,34.095,429.36,C4
8864143,13.686,361.99,59.35,7.1695,216.34,0.14813,0.23648,0.56404,0.059832,0.0062752,75.954,36.394,1.1159,420.87,488.89,18.483,0.35227,415.17,701.63,11.056,1.69,-0.68002,0.58439,0.76159,7.3343,5.5577,140.7,2.2612,63.3,14.557,25.346,1.3548,41.235,352.14,C2
3827317,1.0985,78.925,58.423,1.603,191.35,0.16188,0.28409,0.55986,0.14272,0.0028921,78.23,11.711,2.2176,565.8,495.02,19.258,0.36648,866.66,496.86,11.607,0.57331,0.21646,0.80115,0.17215,4.5685,0.97673,16.5,3.5548,86.1,7.3203,70.042,3.2513,37.372,796.37,C4
16346061,14.976,181.68,46.917,6.0877,44.173,0.13709,0.37708,0.63644,0.047024,0.0090356,45.659,22.275,5.9873,7.892,299.87,5.2758,0.34096,114.45,1642.1,26.308,14.347,-0.71833,0.50084,0.93245,6.0942,20.033,220.1,1.654,0,12.626,28.2,4.7441,50.085,352.14,C2
9112370,10.933,215.01,5.5753,9.5413,253.78,0.13277,0.27692,0.63535,0.075086,0.010065,21.314,24.665,2.4009,639.05,334.71,3.7263,0.36977,323.94,846.48,9.002,2.6131,0.40424,0.77133,0.17084,3.8892,3.5427,28,1.6431,75.133,11.655,52.126,4.9179,38.719,610.55,C1
10836817,31.233,237.71,31.661,9.5702,350.31,0.13427,0.33358,0.40867,0.13125,0.0019294,55.888,33.087,2.1724,555.21,518.82,39.371,0.37533,1006.1,331.95,7.9728,0.32994,-0.18696,0.85547,0.11677,5.0809,0.88996,15,3.2398,54.667,7.2841,80.209,3.171,35.107,352.14,C3
8937978,19.39,183.3,44.691,8.4864,229.4,0.12024,0.201,0.65138,0.11586,0.00063083,3.444,9.9084,2.6017,566.64,392.85,17.239,0.36822,1262,450.56,11.929,0.35703,0.6329,0.83331,0.18239,5.5837,0.67104,13,3.5884,0.23333,8.867,91.224,1.9166,39.118,610.55,C4
7902414,0.69993,137.06,82.683,1.6914,134.27,0.17945,0.32918,0.63532,0.014604,0.006839,38.876,18.414,4.5446,29.881,392.59,1.5,0.35825,2.0427,1927,27.603,943.37,-0.66203,0.4124,0.81287,4.2801,912.08,2939,1.3333,0,14.974,13.572,5.6914,49.427,610.55,C1
12905188,13.046,316.93,42.337,5.8135,359.39,0.10289,0.38102,0.62985,0.029281,0.0082714,37.235,40.207,1.2192,533.85,643.64,2.9282,0.36024,557.76,499,10.567,0.89465,0.83268,0.80376,0.18655,6.4857,3.2788,27,1.9197,131.8,7.9293,69.486,4.0386,37.167,352.14,C2
410669,0.96994,135.63,71.027,2.9273,124.98,0.17613,0.28245,0.68288,0.14063,0.0016963,48.276,14.883,2.6366,587.77,677.99,46.929,0.37089,793.73,472.72,8.6076,0.59556,0.5097,0.81392,0.22413,4.7284,1.2504,19.35,2.5072,61.567,7.8457,70.508,4.0931,36.051,429.36,C4
2797712,0.92587,97.577,33.309,4.9629,162.36,0.19849,0.26652,0.61318,0.068346,0.010523,6.8638,19.168,2.9979,540.11,682.46,15.106,0.32684,888.3,596.37,13.358,0.67136,-0.29436,0.83885,0.22939,4.6252,0.95034,19,3.463,0,6.7149,82.139,7.4653,39.516,796.37,C4
5120777,0.5623,145.04,74.73,2.6811,159.43,0.1911,0.22637,0.63059,0.072688,0.0064589,50.787,37.879,5.7421,71.391,330.03,45.504,0.36822,652.04,748.48,24.614,1.1479,-0.80371,0.80169,0.30786,9.7918,4.5171,40.15,1.9041,0,12.357,31.609,1.446,45.639,796.37,C4
4047049,1.09,82.085,27.115,3.5155,165.48,0.24461,0.21785,0.5364,0.14641,0.007294,18.541,41.919,2.5397,529.73,543.74,38.483,0.38882,783.47,519.47,8.9534,0.66303,0.87223,0.78013,0.28856,6.3671,1.9721,21,2.1375,105.5,8.7608,64.512,3.594,36.369,352.14,C3
9255504,24.71,293.84,29.039,9.9159,215.61,0.10857,0.33401,0.59939,0.064119,0.011332,39.28,28.543,1.233,484.86,203.73,44.483,0.30503,491.71,628.89,10.666,1.279,0.66284,0.82727,0.25254,5.3182,3.0048,32.3,1.9571,94.9,10.27,64.098,4.0812,38.136,429.36,C1
11408283,30.282,470.23,91.2,8.7169,278.7,0.11143,0.33134,0.47816,0.068346,0.010523,6.8638,19.168,2.9979,540.11,682.46,15.106,0.32684,779.61,459.52,10.629,0.58942,0.7243,0.79626,0.26676,5.9237,1.788,20,2.3127,56.867,10.253,63.526,2.5602,36.752,429.36,C2
5352946,0.89075,52.211,28.092,4.3976,145.38,0.177,0.35599,0.49524,0.13831,0.0089897,36.427,15.551,4.3086,244.64,244.15,32.265,0.36914,234.03,1029.6,20.45,4.3994,-0.84173,0.53921,0.54722,6.3875,9.3271,110.7,1.8417,0,12.439,26.947,2.5817,45.508,531.92,C2
4081623,1.09,82.085,27.115,3.5155,165.48,0.24461,0.21785,0.5364,0.14641,0.007294,18.541,41.919,2.5397,529.73,543.74,38.483,0.38882,493.27,770.44,15.155,1.5619,-0.24708,0.78651,0.20922,6.1249,3.5961,29.35,1.9133,23.133,9.4965,53.055,3.8896,40.136,796.37,C2
13395555,28.239,425.94,47.609,8.4209,222.84,0.13512,0.26615,0.68576,0.1235,0.006937,49.105,6.1859,1.7902,553.87,594.25,8.743,0.32569,771.1,541.73,11.744,0.70253,-0.83635,0.66198,0.29129,4.4188,1.2126,20,3.1642,0,9.6862,76.792,2.1919,40.115,429.36,C3
15582793,33.663,442.29,14.012,5.446,189.62,0.13546,0.33002,0.64422,0.0027984,0.0094321,58.161,9.0898,1.0824,97.406,496.54,47.889,0.34437,303.43,781.36,13.738,2.5751,-0.57878,0.70662,0.76405,6.1285,6.4443,141,1.9627,3.2,14.289,29.19,1.6173,42.191,352.14,C2
9720466,31.214,269.37,57.084,8.4677,60.418,0.1152,0.37476,0.61547,0.12255,0.01022,94.118,18.849,0.7158,37.16,351.09,16.716,0.37078,108.05,2136.4,26.258,19.772,-0.38674,0.29595,0.96621,10.482,35.405,328.5,1.9803,0,14.308,8.2507,6.0423,49.349,352.14,C2
8469648,1.2349,66.902,24.446,3.8119,163.05,0.20933,0.23148,0.62632,0.12631,0.012858,18.562,27.014,3.2492,197.91,284.96,29.257,0.30187,263.72,772.61,19.596,2.9297,-0.69896,0.77215,0.33938,5.9159,7.507,69.35,2.0841,0,13.868,52.32,2.1545,44.17,796.37,C2
16467244,21.009,498.62,83.195,9.6188,387.21,0.14499,0.37209,0.42504,0.04914,0.00082858,60.051,34.235,3.1518,530.41,585.28,29.722,0.37802,424.47,844.05,10.906,1.9885,0.73859,0.79146,0.25207,4.9496,3.2717,27,1.8446,82.167,10.798,51.722,4.124,39.25,796.37,C1
3373892,1.4188,63.187,5.2652,4.7582,147.52,0.19423,0.32928,0.42053,0.1459,0.0056863,77.013,21.763,1.47,293.08,420.5,9.2787,0.38674,943.9,596.77,18.326,0.63224,-0.74592,0.65104,0.86524,17.65,5.8481,157.05,2.5157,33.833,16.02,15.665,1.2093,42.318,531.92,C4
13146080,19.678,382.62,37.615,5.6004,257.31,0.10387,0.27442,0.40725,0.068386,0.0054581,54.928,17.057,1.0973,324.9,513.68,30.347,0.36637,1123.1,597.27,14.247,0.5318,-0.86775,0.70686,0.38252,10.163,2.3243,41.55,2.7367,8.3333,9.9478,74.088,2.449,41.442,610.55,C4
9532171,32.249,426.94,26.324,7.1116,314.43,0.11323,0.35117,0.55127,0.046893,0.0023871,49.107,34.339,3.3019,112.03,649.63,48.606,0.39404,295.69,1332.4,27.407,4.5061,0.47981,0.40624,0.68497,10.059,11.726,109.1,2.3785,0,13.958,6.7193,2.3101,49.228,610.55,C2
12281198,10.126,305.16,36.778,6.808,322.39,0.1424,0.21797,0.4658,0.095787,0.0076313,76.957,7.4017,2.1044,450.43,256.68,37.36,0.36386,391.23,564.38,12.913,1.4426,0.45148,0.76416,0.27479,3.8944,2.9714,30,2.1272,0.066667,14.705,69.313,2.114,40.41,610.55,C1
6073841,0.79814,102.39,37.035,3.0743,150.12,0.22302,0.21999,0.47505,0.011131,0.0021674,3.5934,24.544,2.594,199.99,253.17,29.927,0.38196,708.42,552.82,9.7359,0.78035,-0.67494,0.74485,0.59125,7.152,2.7067,61.25,2.8143,113,12.149,48.627,1.3177,38.935,429.36,C4
14487897,29.239,468.75,28.135,6.6833,287.93,0.14873,0.38552,0.47587,0.037505,0.006535,25.066,12.494,5.6089,59.485,683.89,14.011,0.35068,756.17,709.38,23.695,0.93812,-0.86943,0.82232,0.57553,10.173,4.0009,46,2.4237,0,12.195,46.747,1.5444,45.201,796.37,C4
10830919,22.551,392.98,38.124,8.9562,373.05,0.10386,0.34603,0.53975,0.026532,0.011837,13.809,36.677,3.1234,646.5,371.44,36.06,0.35805,550.72,648.29,12.961,1.1772,0.5378,0.7878,0.16993,5.6717,2.7874,23,1.7748,7.9667,9.7014,62.158,3.4416,39.46,610.55,C2
16344798,14.555,333.5,90.861,8.9823,311.07,0.12254,0.27648,0.47105,0.023823,0.0070016,35.396,38.612,0.06449,294.86,295.49,8.799,0.32028,613.06,406.38,10.34,0.66287,-0.056008,0.80198,0.17715,5.2874,2.2069,25,2.6488,80.133,10.365,66.69,1.8865,37.301,352.14,C2
6893950,1.0443,141.68,88.711,3.371,114.16,0.16309,0.30121,0.49483,0.021065,0.010965,45.593,9.0301,2.9657,595.81,336.04,23.339,0.35674,1214.8,380.31,8.2342,0.31308,-0.89161,0.86628,0.21991,4.9676,0.54687,15,4.2831,1.9333,6.5081,79.283,5.6629,34.774,352.14,C4
2326573,0.4658,76.263,96.206,3.7615,101.14,0.22521,0.22314,0.54799,0.11671,0.0081863,75.231,20.179,4.6266,143.76,559.31,9.7452,0.3257,675.8,704.62,15.396,1.0427,-0.84663,0.49199,0.29655,7.5519,3.1103,37,2.4386,0,8.7767,65.651,4.775,41.248,352.14,C3
15442894,18.935,250.3,75.103,8.6681,79.322,0.14359,0.3487,0.55841,0.051238,0.0099347,52.281,33.949,1.3359,36.635,371.73,29.348,0.38001,4.8263,1902.6,28.132,394.21,-0.30876,0.45461,0.91316,4.2659,995.09,3120,1.2222,0,15.207,20.829,5.7912,50.021,796.37,C1
5291159,0.50744,61.002,47.476,4.5284,142.8,0.24867,0.23725,0.49822,0.14474,0.0036092,46.026,31.881,5.0333,184.97,421,45.389,0.31335,390.3,864.19,21.284,2.2142,-0.31245,0.72422,0.52285,7.2016,6.0463,48.55,1.7278,0,12.71,54.174,2.9303,45.259,796.37,C3
4054700,1.4762,121.41,8.5385,3.5066,77.046,0.22467,0.22389,0.5399,0.13182,0.010771,12.036,44.3,2.7234,23.339,543.56,22.009,0.30662,108.17,1649.9,25.469,15.252,-0.57719,0.30968,0.89312,7.042,23.961,221.95,1.5458,0,14.363,9.3412,4.5446,48.462,352.14,C2
6514076,0.46649,136.4,57.601,1.7367,166.22,0.23895,0.30894,0.58437,0.12233,0.0091436,24.442,29.611,2.0864,465.83,562.6,20.764,0.354,634.51,785.73,12.887,1.2383,-0.31618,0.73339,0.19322,5.1895,2.0726,24,2.2757,29.867,9.0964,64.372,5.3481,40.487,429.36,C3
11376601,30.282,470.23,91.2,8.7169,278.7,0.11143,0.33134,0.47816,0.068346,0.010523,6.8638,19.168,2.9979,540.11,682.46,15.106,0.32684,759.4,562.5,14.171,0.74071,-0.82969,0.71868,0.18885,5.1354,1.5252,26,3.1238,0,9.596,65.718,3.4661,39.346,531.92,C2
4162863,1.06,84.413,13.979,3.0987,195.4,0.22593,0.20142,0.56821,0.044671,0.0023704,96.469,30.427,2.8818,570.52,428.05,33.872,0.34774,846.59,542.34,15.026,0.64062,-0.92653,0.78604,0.30868,5.1688,1.3067,24.95,3.4099,0,9.9607,74.804,3.9433,39.865,796.37,C4
12095137,18.809,225.91,15.838,6.374,212.26,0.13685,0.26208,0.51645,0.0053772,0.0039648,37.991,27.996,1.525,361.19,572.79,18.755,0.30343,1132.8,614.82,12.714,0.54273,-0.89812,0.66908,0.35088,7.8122,1.5299,25,3.3757,0,9.3653,72.887,3.5481,40.595,429.36,C4
14448075,23.596,339.54,28.035,5.5619,221.76,0.12487,0.35484,0.69648,0.056631,0.010277,80.689,42.981,2.9434,583.23,276.25,9.0593,0.31838,1123.7,353.85,8.1773,0.31489,-0.84133,0.82707,0.16792,4.4101,0.46713,15,5.566,1.8667,6.9317,83.034,6.3629,35.166,352.14,C4
1832651,1.0011,147.83,17.894,2.0983,95.884,0.22198,0.25709,0.54154,0.027947,0.0096167,37.016,37.139,4.5838,20.53,516.69,20.168,0.38179,119.66,2063.1,27.773,17.241,-0.72322,0.43416,0.96804,12.581,37.993,384.05,1.9116,0,16.715,5.739,4.592,50.805,531.92,C2
5234939,1.2915,59.554,85.966,4.1969,120.82,0.16737,0.38335,0.55996,0.036579,0.0098397,5.764,20.585,1.6282,353.61,442.51,5.4656,0.38763,1056.6,743.61,15.024,0.70375,-0.78362,0.65833,0.4741,8.3462,1.951,29,2.909,8.7,13.434,71.547,2.2231,43.515,610.55,C4
9544940,21.361,203.6,66.341,7.568,138.27,0.14636,0.38156,0.59348,0.11315,0.00080049,34.485,8.1662,5.5678,25.947,484.11,33.053,0.31331,186.94,1711.3,28.323,9.1545,-0.59371,0.33203,0.92871,9.3671,17.794,203.4,2.3796,0,13.828,14.05,4.497,50.221,610.55,C2
15396771,33.26,240.48,18.631,8.8246,352.51,0.15521,0.22336,0.41225,0.14698,0.0029975,11.609,16.614,1.8678,151.44,533.76,24.576,0.36579,360.21,800.61,16.66,2.2226,-0.73179,0.57078,1.0491,17.668,17.203,228.75,2.0067,25.467,16.187,10.126,1.7401,42.665,352.14,C3
6295197,1.3716,84.709,19.963,3.1354,183.9,0.22426,0.27045,0.50497,0.010594,0.0066662,32.888,16.396,0.65804,271.33,237.94,37.803,0.33014,1184.7,464.9,13.659,0.3924,0.23793,0.67848,0.48829,13.847,3.3006,35.7,2.8533,132.53,11.346,45.956,0.98371,39.973,352.14,C4
14597361,19.805,432.15,97.75,8.151,370.59,0.1549,0.36187,0.47464,0.024361,0.0062916,81.65,11.041,3.4225,558.67,574.19,26.223,0.36288,757.83,422.57,10.73,0.55761,0.7797,0.84807,0.1809,4.3405,1.1801,16,2.6005,51.7,8.7263,85.028,2.2324,37.891,429.36,C3
8832400,23.875,371.44,23.3,6.9279,287.1,0.11653,0.36596,0.41284,0.046725,0.0027896,62.102,15.69,1.2555,489.5,670.43,13.25,0.37187,759.38,448.48,7.6693,0.59058,0.5087,0.80829,0.17007,4.5308,1.2416,18,2.9878,114.47,7.6337,73.024,3.1467,35.86,429.36,C3
11189102,16.064,277.16,59.956,5.1779,327.55,0.1224,0.27819,0.5965,0.10149,0.0029087,56.569,22.679,3.6752,145.25,231.37,38.443,0.32337,156.04,1050.4,18.786,6.7312,-0.80927,0.68597,0.80824,4.4161,9.4661,161,1.7538,0,13.978,36.577,3.4568,44.398,352.14,C1
9163305,21.971,307.86,6.8627,8.4541,333.61,0.13966,0.20858,0.6234,0.04834,0.012089,88.729,29.836,4.8284,68.955,255.88,37.489,0.38906,397.96,840.96,19.49,2.1132,-0.0095584,0.73642,0.33384,4.7271,3.4759,34.05,2.0417,0,11.808,37.901,1.4511,44.749,796.37,C3
13873854,15.797,335.45,21.249,7.7383,205.65,0.12928,0.2704,0.4253,0.14474,0.0036092,46.026,31.881,5.0333,184.97,421,45.389,0.31335,487.67,780.69,17.106,1.6009,-0.48072,0.76452,0.29737,7.4497,4.6567,38,1.8413,0,14.11,45.158,2.3198,42.921,531.92,C3
11597139,20.969,448.56,89.554,8.752,343.77,0.10579,0.31213,0.53003,0.1353,0.0047523,31.115,22.944,1.1548,640.55,284.33,32.529,0.3311,700.85,501.92,12.43,0.71616,0.024293,0.79981,0.17881,4.6617,1.509,22,2.7761,10.633,9.5764,67.748,3.1268,37.873,610.55,C1
11490910,26.361,220.94,67.014,5.22,362.6,0.12615,0.23491,0.50099,0.050875,0.0036874,75.613,35.239,1.6849,526.8,688.68,12.875,0.32863,701.27,438.65,9.1574,0.62551,0.87321,0.81234,0.27315,4.7366,1.5229,17.65,2.2645,45.833,8.4437,72.066,3.8771,36.016,429.36,C2
