,h_veg,r_st,LAI_min,LAI_max,Vr,alpha_veg,Vcan,k,f_red,z0,rs_soi,Ve,a,Vsoi,Vepi,Kepi,alpha_soi,Pm,Epotm,Tm,AI,ro_P_E,ETSI,PSI,Ip,Hp,H95,Dp,DS,DTR,RHm,WSm,Radm,CO2,Classes
7702881,0.69512,124.29,99.992,2.7535,180.07,0.20697,0.21845,0.62164,0.036175,0.0031255,32.751,42.448,1.7474,620.64,467.19,16.161,0.39986,1121.7,530.05,14.449,0.47252,-0.79066,0.76985,0.1403,4.7765,0.62014,13,4.084,0,9.7289,73.8,2.8124,39.971,796.37,C4
1170864,0.82856,120.07,74.984,3.8766,174.64,0.23232,0.23581,0.52048,0.091595,0.011027,34.79,44.774,2.1904,632.63,439.12,21.007,0.38574,756.27,421.06,9.7703,0.55676,0.887,0.79093,0.33375,4.8466,1.4306,17,2.3227,54.867,9.2583,72.669,3.2162,36.412,429.36,C3
5652443,0.58498,57.848,16.147,4.2731,134.93,0.18262,0.23292,0.41685,0.037981,0.012266,98.881,27.099,1.5652,502.08,526.83,34.265,0.31186,1064,491.46,14.761,0.46189,-0.67786,0.82681,0.14431,5.07,0.80303,15.6,3.6284,0,10.333,87.115,2.8857,40.645,429.36,C4
8828607,23.875,371.44,23.3,6.9279,287.1,0.11653,0.36596,0.41284,0.046725,0.0027896,62.102,15.69,1.2555,489.5,670.43,13.25,0.37187,719.35,439.34,8.6634,0.61075,0.84178,0.81239,0.314,5.7848,1.9662,21,2.3454,92.133,11.548,62.989,2.2776,36.233,429.36,C2
8162155,1.1917,141.4,15.605,3.7366,109.3,0.22883,0.34631,0.51356,0.10476,0.011577,94.077,22.456,0.26048,367.71,271.52,21.454,0.39427,331.59,530.14,12.583,1.5988,-0.41682,0.77167,0.65986,6.7082,6.4843,83.15,2.0504,85.267,14.499,35.127,1.1053,39.846,610.55,C3
2524252,1.3832,54.574,72.514,4.9671,129.37,0.18629,0.20964,0.48635,0.053563,0.0032231,69.413,7.3137,4.9118,229.41,696.34,47.273,0.35334,198.15,1172.3,27.06,5.9164,-0.82384,0.44484,0.99596,10.083,18.189,217.95,1.8479,0,11.172,5.5732,2.3758,48.246,531.92,C2
15320136,24.225,482.18,8.4027,7.5512,260.68,0.14638,0.28064,0.55711,0.14853,0.0084407,65.488,43.192,2.7197,572.46,362.66,43.11,0.34831,654.11,388.47,6.9589,0.59389,0.62936,0.84644,0.17303,4.4922,1.6134,17,2.1686,138.67,8.1832,81.458,3.2809,35.757,352.14,C3
9835206,23.323,282.76,71.098,9.2984,365.88,0.11232,0.31725,0.48867,0.023774,0.0014637,20.455,14.255,2.7395,514.54,405.7,41.959,0.33983,954.38,410.94,8.2824,0.43059,-0.79575,0.87794,0.20683,4.0213,0.62736,17.6,3.9298,0,7.7946,77.496,4.7822,35.315,531.92,C2
9670293,26.938,386,68.033,5.3257,321.64,0.15985,0.37494,0.60644,0.099293,0.0022258,64.619,40.829,2.0038,577.65,580.92,14.488,0.35949,647.89,663.8,14.594,1.0246,-0.81634,0.76636,0.25068,5.7026,2.3023,31.75,2.183,0,8.7235,65.433,4.8121,39.222,796.37,C2
10158146,18.207,474.8,98.66,7.7944,338.41,0.10996,0.25799,0.52216,0.14212,0.0111,70.388,22.115,2.2388,544.05,288.97,10.805,0.31087,291.33,686.78,3.6603,2.3574,0.58663,0.8228,0.20689,4.2835,4.4463,36.95,1.7916,181.47,11.603,61.539,5.0943,36.353,352.14,C1
