"This dataset is retrieved from Almeida et al. (2017) NHESS. It consists of 10,000 data points (rows) of 28 input variables (columns) of a slope stability model. The variables are model parameters characterising the slope geometry, soil and design storm properties and initial hydrological conditions. The model output is the slope factor of safety (FoS) and according to its value we can distinguish two classes in the dataset (last column): Stable (FoS>1) and Failure (otherwise)                                                                                                                                                                                                                                                                                                                                                            Almeida, S., Holcombe, E., Pianosi, F., & Wagener, T. (2017). Dealing with deep uncertainties in landslide modelling for disaster risk reduction under climate change. Natural Hazards and Earth System Sciences, 17(2), 225-241.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
delta,H,H0,H1,DWT,theta_s_0,theta_r_0,alpha_0,n_0,theta_s_1,theta_r_1,alpha_1,n_1,theta_s_2,theta_r_2,alpha_2,n_2,c_0,phi_0,K_sat_0,gamma_us_0,c_1,phi_1,K_sat_1,gamma_us_1,psi_init,I,D,Classes
28.804,48.722,5.2114,3.9842,75.801,0.52149,0.12302,6.2873,1.5072,0.41126,0.09857,4.7018,3.3392,0.36896,0.18677,3.7403,1.9667,7.8644,24.712,3.31E-05,17.052,25.367,36.283,1.21E-06,18.631,-1.0196,0.08826,65,Failure
29.369,48.637,2.4188,4.817,73.968,0.49657,0.12946,5.2211,1.1291,0.45233,0.19122,4.0496,1.4736,0.37034,0.20975,1.3582,1.7331,5.2474,24.572,2.23E-05,17.145,24.481,34.568,1.05E-06,19.052,-0.89979,0.0011281,52,Stable
27.149,48.73,2.8296,2.8525,90.051,0.4759,0.19095,4.6808,1.7344,0.5289,0.15401,4.6725,1.214,0.35669,0.12645,9.9327,1.5316,7.1464,25.679,2.73E-05,16.342,22.869,35.907,1.33E-06,19.613,-1.2235,0.15061,9,Stable
28.96,48.647,3.9534,3.3536,68.42,0.41346,0.088827,5.161,2.4936,0.46665,0.14502,0.58346,1.576,0.30279,0.06383,2.6241,1.3836,9.6742,24.474,1.28E-05,16.759,24.76,34.51,1.04E-06,19.074,-0.57296,0.15358,72,Stable
28.469,48.736,5.0705,5.9829,65.301,0.45902,0.18157,1.6856,1.4968,0.46017,0.088343,0.54562,1.2954,0.2814,0.14154,4.4089,1.202,10.8,26.267,1.41E-05,17.343,25.796,29.582,2.40E-06,19.648,-0.53779,0.1862,55,Failure
29.919,48.871,5.9593,3.9519,68.123,0.27374,0.10867,3.1636,1.3958,0.38762,0.15413,2.6797,1.1949,0.45179,0.10702,1.81,1.7245,4.902,27.129,2.13E-05,17.494,25.48,30.972,1.19E-06,19.76,-0.74414,0.11326,22,Failure
27.897,48.301,5.8848,3.084,72.029,0.48615,0.17499,1.2283,1.1238,0.42931,0.071507,0.46722,1.4754,0.33026,0.088117,2.9756,1.3263,9.9658,27.896,1.70E-05,16.829,24.189,35.045,2.15E-06,18.732,-1.0327,0.009188,22,Stable
27.768,48.41,3.8544,5.3532,62.741,0.55258,0.13259,3.0973,1.1053,0.26606,0.1531,2.6766,1.2605,0.30776,0.22329,6.9913,1.4672,10.477,26.524,1.82E-05,17.887,24.263,33.711,1.18E-06,18.326,-1.3655,0.10902,63,Stable
29.448,48.15,2.2354,3.6068,82.119,0.34117,0.089922,0.83352,1.637,0.3355,0.06125,3.4274,1.502,0.34998,0.1742,15.884,1.1627,7.5466,24.628,1.09E-05,16.322,26.396,33.771,8.97E-07,18.388,-1.2059,0.038059,45,Stable
29.697,48.158,3.0051,4.1675,93.497,0.46197,0.10865,13.588,1.5312,0.5005,0.18177,4.0446,2.0156,0.36389,0.15025,2.0967,2.9104,13.474,25.145,2.06E-05,16.163,25.71,37.451,2.01E-06,18.51,-0.80329,0.11162,41,Stable
28.572,48.194,3.2281,2.5985,66.196,0.45961,0.11053,4.1206,1.9824,0.3053,0.081224,1.7173,1.3887,0.44636,0.42202,3.3251,1.473,11.688,24.293,9.66E-06,17.828,25.171,35.393,1.02E-06,19.024,-0.54052,0.072623,12,Stable
29.494,48.614,2.6378,4.8396,94.557,0.34653,0.21866,6.2703,1.2686,0.40722,0.19244,1.6412,1.583,0.38438,0.088847,1.4093,1.5175,1.8661,25.838,6.47E-06,17.708,24.369,35.573,9.78E-07,19.457,-1.229,0.02818,12,Stable
27.105,48.638,2.35,4.2776,72.119,0.40819,0.26733,8.9598,1.3165,0.41399,0.14881,5.3634,1.6498,0.45993,0.1339,5.0266,1.1702,8.397,25.967,1.04E-05,16.177,26.153,36.045,2.49E-06,19.817,-0.66215,0.15728,5,Stable
29.871,48.257,4.1351,2.7245,77.792,0.35789,0.16273,1.1655,1.5564,0.36403,0.11962,5.7019,1.0198,0.47268,0.066048,5.8362,1.3085,12.263,27.415,1.77E-05,17.186,22.858,40.637,1.35E-06,18.748,-1.3383,0.078576,35,Stable
28.915,48.938,2.4835,5.2564,79.164,0.41098,0.25142,4.7628,1.655,0.44472,0.11585,1.8238,1.9307,0.61486,0.20817,1.0002,1.9078,8.0214,25.673,1.65E-05,16.707,23.611,31.968,2.29E-06,19.354,-0.76109,0.087114,42,Stable
28.029,48.95,3.5162,5.1849,87.861,0.24678,0.16787,11.656,1.5536,0.29454,0.14136,31.496,1.4745,0.54996,0.14931,3.2083,1.029,9.6544,23.532,1.82E-05,17.013,25.175,32.673,8.53E-07,18.594,-1.4846,0.10482,55,Stable
29.169,48.315,3.0473,5.361,63.771,0.41671,0.11165,1.2138,1.5517,0.47912,0.12543,0.70002,1.0893,0.5058,0.061705,1.7468,1.8479,10.83,22.923,4.11E-05,17.216,24.934,39.146,1.62E-06,18.009,-1.1248,0.014786,26,Stable
27.837,48.272,5.0116,4.2642,90.359,0.31431,0.16213,5.0219,1.2818,0.29121,0.10763,13.141,2.3885,0.35966,0.1169,0.41875,1.1962,11.123,23.876,7.64E-06,16.549,23.736,34.315,1.05E-06,19.865,-0.71121,0.092868,60,Stable
28.747,48.429,5.906,2.9751,84.946,0.36506,0.26457,2.0905,1.998,0.40835,0.11915,2.1695,1.8748,0.31622,0.1364,2.3369,1.0342,9.265,25.179,1.27E-05,16.063,26.731,32.709,2.10E-06,18.641,-0.67883,0.0779,19,Failure
27.072,48.984,2.3262,4.8844,85.283,0.50895,0.13889,10.538,1.261,0.36925,0.091791,4.3955,1.9517,0.27355,0.12344,11.873,1.0972,1.0071,24.981,8.59E-06,16.329,26.53,29.647,1.74E-06,18.546,-0.71013,0.018381,46,Failure
28.019,48.179,3.6199,2.3195,63.231,0.35325,0.10851,3.3919,1.9694,0.46232,0.10788,6.9986,2.1884,0.49885,0.14153,5.1759,3.5828,10.852,21.391,9.16E-06,17.769,26.287,31.298,2.48E-06,18.195,-1.04,0.073385,70,Stable
27.862,48.855,4.4575,5.2694,74.586,0.43649,0.18246,0.17772,1.8285,0.52041,0.11133,1.5826,2.0947,0.54227,0.13993,1.1622,1.1455,6.4656,25.531,1.33E-05,17.879,25.629,38.341,1.60E-06,19.092,-0.58939,0.06551,24,Failure
28.198,48.105,5.4302,4.5002,71.734,0.46601,0.13416,2.5536,1.4633,0.29169,0.14197,13.098,1.6,0.31046,0.10516,4.6334,1.2222,10.49,24.917,2.30E-05,16.014,24.047,35.625,1.39E-06,18.494,-1.0805,0.10577,61,Failure
29.093,48.761,4.9711,3.1302,80.777,0.32495,0.12902,4.9704,1.3424,0.4847,0.13437,7.2052,2.2227,0.4596,0.25733,3.0147,2.7671,11.571,25.449,1.43E-05,16.19,25.078,37.357,1.38E-06,19.333,-1.1097,0.14491,53,Stable
28.999,48.607,3.9581,4.2379,71.695,0.39427,0.10681,0.85978,1.0009,0.54363,0.10784,4.8031,1.6534,0.38965,0.16613,4.1906,2.1551,7.7526,25.53,1.57E-05,17.049,24.909,36.833,1.29E-06,18.354,-0.92955,0.045982,13,Stable
28.3,48.212,3.698,3.8516,86.409,0.47748,0.18999,4.9109,1.1531,0.29224,0.19573,13.697,1.4581,0.42548,0.10338,11.705,1.373,8.6716,23.578,9.90E-06,16.59,22.303,34.471,1.19E-06,19.389,-1.3957,0.0067364,18,Stable
27.526,48.032,3.0005,5.1653,88.795,0.30039,0.084475,1.1417,1.1118,0.33057,0.17181,48.057,2.0756,0.3892,0.16529,2.0441,1.567,13.468,22.18,1.08E-05,17.604,27.915,29.012,1.58E-06,19.497,-1.1,0.19085,1,Stable
27.58,48.803,4.4324,3.3566,69.087,0.34694,0.16491,0.44604,1.4167,0.37321,0.075032,3.3411,1.4824,0.37481,0.11047,0.56574,1.4426,7.2621,20.881,1.30E-05,17.707,24.513,27.76,2.74E-06,19.478,-1.3948,0.00056376,40,Stable
28.849,48.039,5.4345,2.8527,62.884,0.48098,0.15725,5.8172,1.1424,0.46263,0.1507,11.954,1.5352,0.40472,0.16291,31.335,1.5288,5.6715,25.536,1.89E-05,17.334,24.29,39.529,1.08E-06,19.677,-0.53243,0.17099,12,Failure
27.807,48.741,4.8235,4.2928,94.457,0.36598,0.15631,0.37652,1.2539,0.26447,0.18712,16.514,1.3904,0.52861,0.27309,1.6592,1.2262,5.4079,25.927,8.48E-06,17.1,26.187,33.838,2.35E-06,18.343,-1.1661,0.022617,42,Failure
28.679,48.339,4.6049,2.1403,93.545,0.23238,0.19348,3.3335,1.6522,0.2984,0.14465,0.73967,1.1114,0.41579,0.089588,5.3474,1.1603,4.4101,22.369,1.57E-05,16.331,26.89,41.17,1.98E-06,18.315,-1.3521,0.045538,60,Failure
29.834,48.416,5.141,3.4051,72.4,0.38576,0.24604,10.448,1.8838,0.46033,0.11063,4.6121,1.0696,0.52912,0.11891,8.0274,1.0119,7.2021,27.068,1.11E-05,16.444,23.117,38.55,1.47E-06,18.837,-1.4511,0.032656,19,Failure
29.143,48.194,3.6624,4.7834,77.281,0.48465,0.14938,3.1909,1.6316,0.52714,0.1357,3.991,3.3887,0.37832,0.14809,0.25706,1.4554,7.484,25.127,1.65E-05,16.05,28.242,33.022,1.92E-06,18.746,-0.97967,0.10882,56,Failure
29.878,48.136,5.2087,4.9395,86.393,0.53047,0.24438,3.8377,1.353,0.52727,0.15363,0.70282,2.2225,0.48322,0.14309,2.935,1.7923,9.2841,23.335,1.22E-05,16.988,23.664,38.637,1.15E-06,19.172,-0.6593,0.16897,1,Stable
28.823,48.851,4.8117,3.1386,93.778,0.23964,0.22235,7.5494,1.7596,0.46165,0.12185,0.41823,1.5834,0.36159,0.095822,1.0948,1.6592,7.3476,28.032,2.76E-05,16.412,25.953,35.613,2.28E-06,19.304,-0.99611,0.084059,29,Failure
29.844,48.247,4.5979,2.336,79.586,0.44337,0.12611,3.8967,1.5358,0.41237,0.17227,16.019,1.632,0.50542,0.23346,5.3602,2.6708,10.104,24.441,1.86E-05,16.699,25.182,37.145,1.27E-06,19.654,-1.2421,0.13287,36,Failure
27.806,48.994,3.0473,3.5424,83.368,0.41739,0.099312,10.11,2.7272,0.49425,0.148,0.773,1.7774,0.35579,0.058276,4.0907,1.7183,12.833,24.815,1.57E-05,17.349,23.447,31.791,2.35E-06,19.415,-0.74724,0.18573,18,Stable
29.96,48.928,2.9326,3.6354,60.782,0.26887,0.11293,5.5957,2.7923,0.46528,0.076157,5.5203,2.2375,0.41605,0.097441,61.415,1.7915,12.415,25.161,1.03E-05,16.512,27.917,32.338,2.19E-06,19.137,-0.97802,0.020018,4,Stable
29.043,48.001,3.5076,5.8116,93.429,0.35989,0.17961,2.7164,2.0199,0.34281,0.21799,6.5937,2.1545,0.31948,0.11995,4.0438,2.0103,6.1762,22.158,2.12E-05,16.733,25.999,37.15,1.75E-06,19.299,-1.1349,0.01955,29,Failure
28.251,48.725,4.5809,3.343,93.048,0.4597,0.15737,7.6887,2.244,0.40628,0.155,9.651,1.3779,0.39343,0.11511,1.2877,1.5704,8.6481,24.27,1.63E-05,16.02,20.569,39.632,2.11E-06,18.657,-0.9584,0.032242,63,Stable
28.149,48.294,4.2849,2.2873,72.668,0.42069,0.10555,28.213,2.0075,0.38531,0.11828,8.0398,3.6766,0.42528,0.14991,10.564,1.0104,10.378,28.479,1.31E-05,17.892,27.423,32.913,2.79E-06,18.917,-0.75559,0.12307,6,Stable
27.089,48.055,3.7523,2.3752,82.192,0.37833,0.3105,4.0799,1.7231,0.48402,0.10627,9.4745,1.4347,0.40079,0.34698,0.71425,1.3286,12.4,24.602,1.02E-05,17.668,28.578,37.607,1.52E-06,19.343,-0.82656,0.12684,8,Stable
28.417,48.701,3.0683,5.4946,85.155,0.34495,0.16846,3.8065,1.7814,0.51021,0.073154,31.805,1.5707,0.44834,0.11918,10.08,1.084,3.3417,22.28,1.66E-05,16.023,25.949,36.4,9.48E-07,19.831,-0.57434,0.1091,6,Failure
28,48.893,4.7669,4.9011,89.877,0.43153,0.075941,0.60846,1.1691,0.43286,0.18664,1.0353,1.7526,0.46977,0.080451,6.06,2.6997,10.676,26.154,1.84E-05,17.585,27.417,36.812,7.24E-07,18.24,-0.63268,0.11831,41,Stable
28.666,48.586,5.6221,4.2941,61.798,0.46501,0.12898,1.5059,1.697,0.5163,0.21334,8.3888,1.6427,0.38701,0.22689,0.43555,1.0096,7.0088,24.374,1.83E-05,17.613,24.63,30.792,1.21E-06,19.521,-1.1864,0.18022,1,Stable
29.539,48.952,4.6929,2.2417,71.85,0.27144,0.1717,1.6403,4.2908,0.18201,0.057238,5.4697,2.8671,0.45399,0.13575,16.65,1.2811,6.8966,23.748,1.73E-05,17.858,28.543,32.663,1.99E-06,19.488,-0.86279,0.039645,31,Failure
28.386,48.091,3.6809,3.669,66.946,0.3083,0.22469,0.9634,1.5207,0.43759,0.25225,0.81908,1.0441,0.38425,0.1547,0.58635,1.1957,9.9768,23.665,1.18E-05,17.821,27.464,34.91,1.39E-06,19.699,-1.3582,0.024672,11,Stable
29.776,48.002,5.8792,3.2448,66.274,0.34085,0.17427,3.1142,1.4201,0.46747,0.18028,2.4097,1.4825,0.34599,0.181,1.8087,3.1419,8.3349,23.979,1.23E-05,16.81,24.565,35.282,2.42E-06,19.301,-1.4624,0.098622,62,Failure
29.473,48.124,2.6166,4.4177,69.975,0.38343,0.20515,1.6745,1.4336,0.45997,0.27585,0.84982,1.4025,0.43946,0.099539,15.306,2.4352,7.2988,26.289,1.53E-05,17.453,26.896,33.106,1.77E-06,18.406,-0.69479,0.15869,31,Stable
29.879,48.08,3.3666,2.0559,80.733,0.39454,0.10292,1.3825,1.9945,0.50786,0.07119,41.806,1.7587,0.46654,0.11135,2.3826,1.7843,0.3266,25.715,2.15E-05,17.9,26.743,35.659,2.63E-06,19.961,-0.87199,0.05229,29,Failure
28.939,48.078,3.9176,3.6695,74.343,0.27161,0.066871,8.4706,1.4584,0.50285,0.10164,2.9879,1.6037,0.5184,0.12864,0.64591,1.3054,5.3995,24.717,2.00E-05,17.87,25.859,37.985,1.85E-06,18.486,-0.55644,0.077259,71,Failure
28.139,48.591,3.0875,5.8698,93.346,0.49481,0.093062,2.0771,1.2761,0.52784,0.098286,10.346,1.4478,0.3253,0.14488,14.719,2.0905,5.316,24.619,1.94E-05,17.678,27.989,37.107,2.91E-06,19.375,-0.52077,0.035892,23,Stable
28.43,48.496,5.4921,3.3464,70.162,0.38777,0.1837,20.952,1.147,0.40323,0.15478,2.3728,2.8099,0.40275,0.16912,1.709,1.6991,7.227,26.067,8.23E-06,17.106,25.676,36.324,1.00E-06,18.176,-1.4343,0.02427,47,Failure
27.045,48.648,5.0034,2.466,65.334,0.24991,0.061034,4.2719,1.045,0.43926,0.19103,17.034,1.9644,0.3799,0.078863,3.8596,2.2948,7.676,25.729,1.43E-05,16.855,24.674,34.497,1.96E-06,18.712,-1.4702,0.034714,54,Failure
28.629,48.844,5.2121,4.3048,66.595,0.34135,0.13979,0.88903,1.8696,0.3898,0.088101,8.7839,1.3363,0.34352,0.16643,2.5795,2.067,7.7537,25.864,1.46E-05,16.834,25.031,38.066,2.77E-06,18.195,-0.7926,0.11671,39,Failure
27.179,48.772,5.8456,3.6699,90.377,0.32424,0.076785,7.7099,1.0633,0.44451,0.088071,8.6595,1.1137,0.42095,0.1883,4.0902,1.3432,5.4367,23.965,2.88E-05,16.383,20.166,39.656,2.08E-06,19.45,-0.90819,0.12876,20,Failure
28.974,48.289,2.6523,5.1986,74.118,0.40655,0.075278,2.3787,1.5918,0.33061,0.090951,16.528,1.3017,0.34278,0.20182,2.9013,1.1265,8.1224,27.689,9.93E-06,17.07,25.451,34.251,1.95E-06,19.275,-0.92988,0.1087,11,Stable
29.669,48.701,4.5953,3.4382,84.915,0.25865,0.1684,2.9828,2.2984,0.47949,0.15271,1.8683,1.1173,0.44649,0.09605,1.5301,1.6852,4.862,25.063,1.64E-05,17.289,24.737,37.003,1.25E-06,18.344,-1.2637,0.016464,50,Failure
27.329,48.913,4.4653,4.2846,82.585,0.42274,0.1062,5.1548,1.465,0.45254,0.14699,0.87311,2.5501,0.39885,0.12069,1.8427,1.3336,9.2393,23.666,1.29E-05,17.74,21.644,30.478,1.81E-06,18.767,-1.0385,0.12938,9,Stable
28.313,48.945,2.8736,5.787,66.542,0.45941,0.15282,14.701,1.5908,0.40386,0.081469,5.071,1.1139,0.17934,0.050598,1.3411,1.3406,10.059,26.135,3.11E-05,17.324,23.579,41.255,7.94E-07,18.503,-0.96975,0.12943,36,Stable
27.841,48.268,5.9475,4.2943,76.438,0.42762,0.12009,11.252,1.1214,0.4135,0.10012,8.4067,1.7219,0.35183,0.071298,5.1982,1.7351,3.498,23.202,1.76E-05,17.484,23.134,34.206,3.08E-06,18.599,-0.62607,0.13622,4,Failure
29.956,48.154,4.7659,2.2786,75.98,0.36342,0.20469,0.73116,1.3614,0.20666,0.18497,5.3018,1.1935,0.32221,0.18905,2.9192,2.3495,12.894,26.208,5.01E-05,17.089,26.478,32.74,1.38E-06,19.282,-0.50609,0.099124,44,Stable
27.761,48.223,3.7055,5.0565,60.26,0.51573,0.2033,20.737,2.1257,0.401,0.24218,51.384,1.5065,0.51869,0.15956,8.8152,1.9634,6.5755,28.647,1.65E-05,16.711,23.293,31.925,9.38E-07,19.074,-0.79093,0.19862,62,Failure
28.635,48.181,5.8281,4.9886,65.513,0.31895,0.24268,3.2055,1.5727,0.59127,0.16499,2.1329,1.7644,0.42474,0.17106,1.7929,1.4157,10.052,22.329,2.23E-05,17.791,21.674,32.481,2.67E-06,18.793,-0.59398,0.051601,13,Failure
29.483,48.244,5.8257,2.19,75.433,0.49849,0.12097,2.2445,1.5899,0.49843,0.050842,4.822,1.3782,0.45464,0.16846,16.383,1.6648,11.54,21.95,1.97E-05,16.87,24.389,36.247,1.99E-06,18.985,-0.81388,0.10838,61,Failure
29.511,48.997,3.9718,2.7582,82.532,0.39202,0.12264,3.1401,2.1339,0.40025,0.14945,7.6468,1.0983,0.41173,0.11753,8.214,1.0695,11.169,23.836,1.25E-05,17.051,23.235,37.412,1.93E-06,19.723,-1.2614,0.18734,1,Stable
28.633,48.825,5.569,4.994,72.39,0.57382,0.053906,3.1409,2.8622,0.36998,0.095768,9.5109,1.6126,0.41679,0.075319,1.1309,1.318,8.5813,24.21,6.86E-06,16.141,24.7,28.751,1.17E-06,18.58,-0.75615,0.054237,44,Stable
29.625,48.731,4.5372,5.905,60.467,0.34467,0.13295,0.50979,1.0119,0.44774,0.13896,1.9823,2.0184,0.43878,0.21408,11.607,1.7124,6.651,22.014,1.49E-05,16.418,23.575,36.581,2.04E-06,19.433,-1.2132,0.074437,43,Failure
29.569,48.557,4.9346,5.3589,62.87,0.47343,0.15114,10.095,1.3546,0.45087,0.29544,5.5488,1.7696,0.38965,0.16943,8.0213,1.1948,0.73606,26.855,2.40E-05,17.539,24.453,29.88,1.40E-06,19.145,-0.77767,0.19955,32,Failure
29.699,48.381,3.3978,5.8519,60.028,0.36424,0.11841,4.5339,1.7592,0.34366,0.15502,0.89826,1.5176,0.38414,0.12821,3.693,1.1661,10.979,27.811,2.05E-05,16.392,24.63,28.813,8.74E-07,18.257,-0.82584,0.064849,26,Failure
27.654,48.347,5.3622,2.8908,69.146,0.40558,0.16241,4.7585,3.2595,0.3458,0.14379,3.7089,1.3727,0.30299,0.12947,0.73665,1.6009,11.845,25.267,2.48E-05,16.479,25.635,37.991,1.33E-06,19.038,-1.1944,0.044419,23,Stable
27.231,48.085,2.2712,2.2368,69.693,0.35853,0.10923,1.2509,1.053,0.46869,0.15448,3.105,1.7499,0.45848,0.11213,1.2614,1.2038,7.5857,25.349,1.55E-05,16.433,24.048,36.354,1.63E-06,19.134,-0.66791,0.0014902,35,Stable
28.423,48.212,2.5731,4.0292,74.915,0.51518,0.23086,1.0464,2.4806,0.55644,0.16844,1.1412,1.722,0.34845,0.10194,12.184,1.1354,5.6653,25.987,1.91E-05,16.058,23.897,34.152,1.59E-06,18.135,-1.2555,0.060897,63,Stable
28.241,48.07,5.0775,3.3109,93.124,0.3243,0.21858,2.2713,1.4335,0.43831,0.12991,2.2487,1.7288,0.25624,0.10651,4.7125,1.1447,12.247,24.294,9.96E-06,16.642,23.787,40.767,9.28E-07,18.928,-1.171,0.10503,3,Stable
28.508,48.586,3.6122,3.1765,68.287,0.43585,0.28708,4.1695,1.0946,0.33846,0.14626,7.2457,1.0315,0.47151,0.088322,1.2975,1.7655,5.411,24.149,9.43E-06,17.601,26.854,31.129,1.77E-06,19.245,-0.54306,0.042068,35,Failure
28.809,48.684,2.5986,3.5401,73.6,0.51928,0.10452,5.2311,2.2886,0.45136,0.098228,5.304,1.5627,0.46478,0.13701,6.2294,1.6287,9.0358,25.008,1.36E-05,16.147,23.331,30.886,2.67E-06,18.259,-0.99732,0.083211,31,Stable
27.796,48.401,4.4687,3.8221,94.215,0.45482,0.22651,4.2562,1.4389,0.44201,0.16079,0.49474,2.2074,0.54633,0.15992,1.7625,2.0187,4.4067,22.319,1.50E-05,17.814,23.615,37.368,2.34E-06,18.965,-0.50958,0.104,70,Failure
28.373,48.548,2.2635,3.232,61.111,0.52104,0.059039,0.89995,1.3216,0.48703,0.12442,1.2522,1.0904,0.30497,0.21579,35.498,1.3162,7.7515,26.123,1.15E-05,17.842,21.871,29.18,1.74E-06,18.275,-0.57443,0.094231,26,Stable
29.167,48.231,5.7927,5.5092,69.889,0.40952,0.20904,1.4302,2.1461,0.35992,0.10611,2.1701,1.1083,0.54986,0.16207,14.304,1.8211,6.3105,26.209,7.78E-06,17.616,23.844,32.28,1.72E-06,19.034,-1.1954,0.17928,15,Stable
28.017,48.006,2.1937,5.2107,80.045,0.40904,0.12942,6.5672,1.6351,0.44264,0.079723,1.4001,2.2374,0.38279,0.12709,4.1674,1.4032,12.373,26.843,1.41E-05,17.768,27.218,37.553,6.05E-07,19.514,-0.81393,0.05622,23,Stable
28.581,48.88,4.1259,4.2961,92.676,0.37568,0.13395,3.4884,1.1979,0.38623,0.12127,0.77408,1.0833,0.49354,0.2058,11.552,1.2844,1.8087,26.771,1.36E-05,17.005,24.535,33.885,1.30E-06,18.271,-1.215,0.16668,66,Failure
29.683,48.378,2.5654,4.1547,90.599,0.49546,0.0853,4.3091,1.4139,0.29994,0.14938,2.5018,1.7108,0.39509,0.12248,4.8956,1.1929,8.2396,24.77,1.45E-05,16.711,25.933,38.168,1.71E-06,18.928,-1.0508,0.080254,59,Stable
27.208,48.153,5.5639,4.0346,84.769,0.44665,0.16313,5.8259,1.2916,0.41005,0.083876,3.9185,1.1932,0.47161,0.18747,5.2214,2.0965,8.1667,24.738,1.43E-05,16.77,26.447,36.209,2.26E-06,18.407,-1.2725,0.15417,72,Failure
28.138,48.838,3.5947,4.5903,61.533,0.35851,0.17289,23.188,1.4619,0.33528,0.13605,1.613,1.3888,0.2842,0.12624,6.5861,1.5473,13.049,23.542,1.78E-05,17.199,25.099,32.614,7.40E-07,19.316,-0.69058,0.13909,63,Stable
28.26,48.406,5.8987,5.454,61.425,0.27249,0.13164,1.0686,1.5276,0.49047,0.21392,1.2404,1.5717,0.44856,0.25356,4.7461,2.3486,7.6011,29.463,1.22E-05,17.002,24.226,42.899,1.34E-06,19.326,-0.62743,0.093043,64,Failure
28.793,48.578,3.778,2.8695,61.429,0.37324,0.092114,2.9863,1.2982,0.46122,0.16148,1.314,2.257,0.3928,0.15266,10.724,3.2151,5.7366,27.205,1.98E-05,16.286,23.842,33.451,1.61E-06,19.647,-1.1671,0.12541,45,Failure
29.696,48.104,5.6419,4.723,64.266,0.40789,0.18438,2.5572,1.2609,0.4941,0.12216,5.6045,1.2382,0.47983,0.1276,1.6045,1.0367,8.163,25.712,2.04E-05,16.019,26.773,39.355,1.19E-06,19.765,-1.071,0.15989,29,Failure
29.454,48.44,4.3354,3.706,62.842,0.38788,0.20958,3.9446,1.927,0.38829,0.19989,5.3348,1.4403,0.55552,0.14458,6.8031,1.0891,7.4462,22.081,1.46E-05,16.184,25.077,33.034,2.34E-06,18.763,-0.64596,0.18024,44,Failure
29.127,48.472,5.8296,4.3007,65.647,0.45287,0.15134,12.735,1.8995,0.47354,0.16439,5.9175,1.3387,0.54279,0.23504,10.792,4.3085,4.3691,24.263,1.16E-05,17.601,23.845,33.475,2.62E-06,18.935,-0.78627,0.022402,43,Failure
29.699,48.359,3.4194,2.1237,84.932,0.56614,0.20642,1.19,1.0382,0.34547,0.13442,1.9153,1.911,0.47709,0.23818,3.9045,1.6674,6.2382,25.711,1.22E-05,17.729,24.715,29.25,1.93E-06,18.232,-1.1172,0.07078,45,Failure
27.196,48.309,5.7585,2.5344,81.721,0.36897,0.10777,1.6913,2.1688,0.47989,0.1537,7.8852,1.2602,0.35055,0.092833,1.0722,1.7528,8.1619,29.922,9.92E-06,17.767,23.065,40.411,1.81E-06,18.197,-0.88298,0.17663,68,Failure
28.008,48.041,4.231,4.0242,75.438,0.48407,0.26678,1.2041,1.5074,0.33478,0.10791,1.5158,2.0212,0.51257,0.15337,25.326,1.6368,12.233,21.33,1.08E-05,17.153,22.833,39.653,1.35E-06,19.293,-0.77227,0.096787,59,Stable
29.484,48.075,5.2933,3.5589,62.672,0.30781,0.22942,0.7034,1.2712,0.45708,0.095936,16.067,2.2864,0.30904,0.19263,5.3529,1.322,9.4984,25.098,1.38E-05,17.197,24.722,32.661,1.63E-06,19.421,-1.3156,0.17217,49,Failure
28.098,48.232,3.5947,2.5458,68.927,0.459,0.11236,0.64796,1.5407,0.53036,0.10782,2.3976,1.3746,0.40308,0.11038,10.318,1.4283,10.274,25.084,2.57E-05,16.819,26.71,34.67,2.34E-06,18.809,-1.3144,0.031938,35,Stable
28.604,48.729,3.9139,4.2686,66.711,0.37837,0.28979,1.8849,1.6828,0.38476,0.076187,0.84519,1.3125,0.37458,0.11761,7.2651,1.5265,4.2204,24.025,1.72E-05,17.987,22.96,31.923,1.71E-06,19.439,-0.59448,0.13543,28,Failure
27.868,48.754,3.6006,4.3679,64.215,0.40214,0.18416,6.477,1.6075,0.37418,0.15817,2.5774,1.5013,0.41615,0.14062,20.069,1.3061,14.425,22.466,2.05E-05,16.662,21.056,28.864,1.72E-06,18.893,-1.3494,0.17703,62,Stable
27.255,48.603,3.3632,5.4081,71.828,0.46004,0.15132,2.019,1.0909,0.54984,0.18,7.2962,1.8594,0.42107,0.12781,6.6234,1.0425,6.8726,26.554,1.26E-05,16.553,24.129,33.169,1.19E-06,19.55,-0.69983,0.046934,51,Stable
28.229,48.321,4.0256,4.5407,87.801,0.30984,0.10948,1.0303,1.2521,0.42595,0.10855,8.3854,1.8853,0.39325,0.14878,1.4648,1.4066,4.8486,27.757,1.88E-05,17.938,25.534,25.138,1.77E-06,19.168,-0.78718,0.027879,69,Failure
27.37,48.463,3.3891,4.782,65.436,0.45616,0.28518,2.05,2.078,0.46606,0.20783,2.0371,1.011,0.37805,0.20833,0.73742,1.0904,9.2631,25.861,2.09E-05,16.231,25.565,35.734,3.02E-06,19.782,-1.2719,0.049205,41,Stable
