"This dataset is retrieved from Almeida et al. (2017) NHESS. It consists of 10,000 data points (rows) of 28 input variables (columns) of a slope stability model. The variables are model parameters characterising the slope geometry, soil and design storm properties and initial hydrological conditions. The model output is the slope factor of safety (FoS) and according to its value we can distinguish two classes in the dataset (last column): Stable (FoS>1) and Failure (otherwise)                                                                                                                                                                                                                                                                                                                                                            Almeida, S., Holcombe, E., Pianosi, F., & Wagener, T. (2017). Dealing with deep uncertainties in landslide modelling for disaster risk reduction under climate change. Natural Hazards and Earth System Sciences, 17(2), 225-241.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
delta,H,H0,H1,DWT,theta_s_0,theta_r_0,alpha_0,n_0,theta_s_1,theta_r_1,alpha_1,n_1,theta_s_2,theta_r_2,alpha_2,n_2,c_0,phi_0,K_sat_0,gamma_us_0,c_1,phi_1,K_sat_1,gamma_us_1,psi_init,I,D,Classes
29.552,48.951,2.3078,3.491,87.098,0.53871,0.17094,2.763,2.488,0.51634,0.23378,0.98286,1.9587,0.41705,0.10154,1.106,1.8738,9.3473,24.748,1.22E-05,16.829,24.745,32.587,1.60E-06,18.614,-1.3289,0.18847,53,Stable
28.682,48.469,3.2149,5.743,72.373,0.43063,0.14765,36.251,1.2223,0.34361,0.044573,5.5015,1.0539,0.27204,0.12622,1.2582,1.281,11.413,24.652,1.53E-05,16.934,23.426,36.428,1.07E-06,18.181,-1.1111,0.16639,55,Stable
29.789,48.707,4.6682,5.2482,93.703,0.42016,0.14813,3.4458,2.0098,0.42511,0.10947,3.0541,1.7874,0.41138,0.091049,1.8027,1.7006,9.4114,27.916,2.36E-05,17.87,23.497,35.645,1.04E-06,19.076,-1.4433,0.030955,62,Stable
29.09,48.491,4.5234,2.0388,78.762,0.38893,0.13752,2.3126,1.4689,0.4437,0.18812,0.81606,2.7287,0.56046,0.12735,2.6611,1.5945,9.8645,25.792,1.20E-05,17.151,23.249,31.297,1.50E-06,18.249,-0.62101,0.053975,49,Stable
28.748,48.366,2.3206,5.4227,64.527,0.40896,0.16056,1.8672,1.819,0.50241,0.086656,7.7101,1.665,0.31008,0.099913,5.0436,1.4152,10.426,24.651,2.18E-05,16.652,25.954,39.318,1.36E-06,18.727,-1.0529,0.13604,36,Stable
29.446,48.614,3.4694,4.2067,67.171,0.45083,0.1038,1.1521,1.1747,0.39533,0.085223,2.9534,1.8504,0.47208,0.12507,2.6828,1.2194,8.7892,23.595,1.40E-05,16.591,23.064,36.3,2.14E-06,19.593,-1.2619,0.00362,46,Stable
29.637,48.653,5.6846,2.3228,66.8,0.33391,0.18155,4.9485,1.5886,0.48804,0.063132,1.6191,1.4953,0.34976,0.15345,3.4129,2.2219,3.0651,24.212,1.35E-05,17.286,25.503,34.401,2.28E-06,19.818,-1.0327,0.18082,60,Failure
29.967,48.214,5.2637,4.8796,88.263,0.4287,0.1502,4.6107,1.047,0.45489,0.23091,20.78,1.3491,0.4889,0.14554,9.7548,2.7229,7.7115,27.117,1.42E-05,17.34,26.155,33.883,1.06E-06,19.986,-0.63438,0.012028,31,Failure
27.002,48.559,3.0358,4.4546,93.113,0.5378,0.12857,2.5343,1.1126,0.36214,0.18476,4.8008,3.013,0.40427,0.13644,6.8745,1.3333,10.653,25.628,1.76E-05,17.957,24.187,30.749,1.16E-06,19.185,-1.1162,0.00683,68,Stable
29.596,48.956,3.5782,5.746,68.209,0.48865,0.27594,4.6514,3.1438,0.46181,0.096811,1.1204,2.1523,0.38256,0.12997,15.539,1.1989,18.275,26.39,1.25E-05,16.123,26.242,35.66,8.16E-07,19.422,-0.81903,0.068073,72,Stable
28.583,48.632,3.7679,2.0302,65.515,0.41053,0.077004,4.3373,1.0501,0.42298,0.16248,1.371,2.4174,0.46699,0.14907,4.4742,1.6149,8.4164,23.409,1.34E-05,17.305,24.376,37.959,1.15E-06,19.76,-0.61838,0.057885,16,Stable
29.404,48.444,4.0875,4.6226,91.28,0.35352,0.19395,16.752,1.8465,0.28328,0.078234,0.64706,1.5287,0.4753,0.075608,0.5779,1.2577,11.572,26.34,1.47E-05,16.937,24.856,31.996,3.04E-06,19.84,-0.83134,0.0037116,51,Stable
27.684,48.007,3.5726,5.6959,76.471,0.41192,0.09381,0.86358,1.4747,0.49167,0.16744,20.714,1.8564,0.44501,0.13441,1.8791,2.454,7.268,22.808,1.27E-05,16.791,25.844,33.246,2.70E-06,18.37,-0.87921,0.077189,61,Stable
28.494,48.335,5.9504,3.4976,75.365,0.4762,0.20398,0.75157,1.4986,0.467,0.15697,50.513,1.2229,0.37496,0.10785,15.3,1.3853,5.0335,25.804,1.58E-05,17.241,27.1,38.632,1.83E-06,18.244,-0.85382,0.072564,58,Failure
29.703,48.77,4.6305,5.5626,87.926,0.40858,0.10658,5.8929,2.6244,0.41207,0.12977,1.0914,1.0476,0.41752,0.08775,3.9804,1.7516,7.5013,25.258,8.92E-06,16.727,22.752,40.572,3.19E-06,19.195,-0.50374,0.045663,45,Failure
29.216,48.94,5.1953,4.6252,78.521,0.54617,0.10633,4.5446,1.4484,0.45518,0.13439,1.7997,1.1881,0.48963,0.25369,16.736,1.4718,4.5944,23.975,2.23E-05,16.706,26.52,30.573,1.15E-06,19.933,-1.1775,0.030419,46,Failure
28.758,48.979,5.6358,4.4222,62.93,0.29734,0.10615,41.544,2.1636,0.42403,0.14873,2.5378,2.0543,0.46355,0.207,1.043,1.7766,10.01,23.132,1.38E-05,16.744,24.923,39.146,1.22E-06,19.517,-1.0646,0.11615,38,Failure
27.74,48.492,3.2361,5.0879,82.861,0.44657,0.20198,2.7484,1.0515,0.54021,0.15768,1.1658,2.3002,0.53975,0.11449,11.812,1.2996,5.9376,26.893,1.65E-05,16.666,23.146,40.1,2.35E-06,19.092,-0.97335,0.15518,38,Stable
28.999,48.442,2.6677,3.7417,71.469,0.58733,0.05604,3.0997,1.422,0.28098,0.060966,2.0749,1.4303,0.49526,0.04514,14.396,1.1319,7.8141,23.557,1.46E-05,17.13,25.596,30.579,1.37E-06,19.651,-0.74918,0.10782,1,Stable
28.983,48.827,2.7815,2.7951,89.98,0.38608,0.14255,15.685,1.2811,0.39135,0.073547,6.2506,1.6377,0.40459,0.14836,3.4607,1.0495,8.2883,25.88,7.56E-06,17.594,23.577,33.008,1.81E-06,19.703,-1.019,0.027317,57,Stable
29.189,48.746,3.6624,3.1778,65.363,0.41779,0.12201,18.753,1.6773,0.59046,0.06572,1.8537,1.7169,0.29942,0.16406,4.5186,1.1079,4.8655,24.342,1.51E-05,16.201,28.835,31.953,3.34E-06,18.572,-1.4615,0.14261,18,Failure
29.672,48.587,2.4012,4.8437,73.523,0.31675,0.14282,0.94905,1.7913,0.43973,0.1445,2.6491,1.3419,0.39416,0.20776,4.5711,1.2741,11.902,22.783,1.21E-05,16.854,25.301,36.217,1.50E-06,18.768,-0.83847,0.13043,64,Stable
28.744,48.575,4.2957,5.6615,94.746,0.43346,0.141,3.4376,2.602,0.37338,0.14469,1.3905,1.8549,0.5623,0.21604,11.071,1.5077,0.58674,25.865,1.19E-05,16.168,27.433,37.396,2.34E-06,18.724,-0.85119,0.019275,19,Failure
29.785,48.206,3.0421,4.4821,91.391,0.39308,0.13977,0.78397,1.4718,0.38311,0.069293,2.9892,1.2197,0.38882,0.072568,8.6466,1.842,9.8249,26.146,1.61E-05,16.25,25.186,31.558,1.57E-06,19.715,-0.79788,0.1157,23,Stable
28.74,48.057,4.0677,4.5606,83.273,0.33877,0.13623,3.1862,1.1336,0.50054,0.15731,5.6201,1.0968,0.38857,0.28794,8.3379,3.8154,8.3093,26.871,2.08E-05,17.989,23.159,33.204,1.33E-06,19.586,-0.83842,0.19013,31,Stable
27.051,48.23,4.4385,4.3434,62.154,0.41423,0.1885,4.8642,1.193,0.44669,0.22239,20.097,1.397,0.39789,0.17673,3.2843,1.659,7.3289,27.635,1.65E-05,17.193,23.011,38.691,2.02E-06,18.324,-0.70356,0.1659,23,Failure
27.363,48.989,2.7099,5.8567,89.451,0.38278,0.16898,4.0587,1.0214,0.58393,0.11761,6.0508,1.2372,0.41981,0.12084,2.6174,1.4281,12.885,23.519,9.96E-06,16.692,24.707,32.61,7.11E-07,19.061,-0.89931,0.12819,16,Stable
29.588,48.806,2.2743,4.4116,81.989,0.51098,0.12999,0.7696,2.9198,0.45966,0.10532,4.9288,1.3068,0.3729,0.25264,0.50156,1.0735,5.6407,24.101,1.36E-05,17.925,23.772,34.076,2.34E-06,18.258,-1.2435,0.15135,34,Stable
28.453,48.043,5.8,5.1025,60.744,0.41641,0.21597,5.7859,2.7637,0.35781,0.18146,4.4578,1.1428,0.51469,0.3011,48.937,1.2405,13.855,25.421,1.96E-05,17.371,26.807,29.09,1.53E-06,18.001,-1.4097,0.10278,6,Stable
28.657,48.509,4.2741,2.0896,87.646,0.55507,0.10567,2.5573,1.3168,0.4786,0.24396,10.436,2.7406,0.43798,0.11559,2.8423,1.4102,9.9012,21.222,8.61E-06,17.061,25.044,36.931,1.04E-06,18.83,-0.89632,0.061584,44,Failure
